"station_id","station_name","lat","lat_dir","long","long_dir","altitude","town","province","year","month","day","max_temp","max_temp_time","min_temp","min_temp_time","avg_temp","max_wind","max_wind_direction","max_wind_time","avg_wind","rainfall","sun","max_atmospheric_pressure","max_atmospheric_pressure_hour","min_atmospheric_pressure","min_atmospheric_pressure_hour"
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,1,"","","","","","",NA,"","","3.5","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,2,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,3,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,4,"","","","","","",NA,"","","16.3","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,5,"","","","","","",NA,"","","7.9","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,6,"","","","","","",NA,"","","4.9","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,7,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,8,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,9,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,10,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,11,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,12,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,13,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,14,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,15,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,16,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,17,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,18,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,19,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,20,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,21,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,22,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,23,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,24,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,25,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,26,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,27,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,28,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,29,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,30,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,1,31,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,1,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,2,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,3,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,4,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,5,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,6,"","","","","","",NA,"","","0.2","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,7,"","","","","","",NA,"","","0.4","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,8,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,9,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,10,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,11,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,12,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,13,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,14,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,15,"","","","","","",NA,"","","0","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,16,"","","","","","",NA,"","","0.7","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,17,"","","","","","",NA,"","","1.6","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,18,"","","","","","",NA,"","","3.5","","","","",""
"0200E","BARCELONA, FABRA",NA,NA,NA,NA,412,NA,"BARCELONA",1920,2,19,"","","","","","",NA,"","","7.3","","","","",""
